final_value,cumulative_return,annual_return,max_drawdown,sharpe_ratio,bh_final_value,bh_cumulative_return,bh_max_drawdown,bh_sharpe_ratio,buy_count,sell_count,win_rate,stock,param
91299.61000000002,-0.08700389999999984,-0.04628699807758985,-0.23009261609839357,-0.39782958395763995,82516.52,-0.17483479999999996,-0.32984377004112786,-0.37295984688247363,7,7,0.2857142857142857,贵州茅台,入20/出10/ATR20/止2.0
91299.61000000002,-0.08700389999999984,-0.04628699807758985,-0.23009261609839357,-0.39782958395763995,82516.52,-0.17483479999999996,-0.32984377004112786,-0.37295984688247363,7,7,0.2857142857142857,贵州茅台,入20/出10/ATR20/止1.5
99532.14,-0.004678600000000006,-0.0024387030995081105,-0.16086330809296626,-0.07832381309224014,82516.52,-0.17483479999999996,-0.32984377004112786,-0.37295984688247363,5,5,0.4,贵州茅台,入20/出10/ATR20/止3.0
80605.24000000002,-0.1939475999999998,-0.10618632556081242,-0.1939475999999998,-1.8517116920874435,82516.52,-0.17483479999999996,-0.32984377004112786,-0.37295984688247363,4,4,0.0,贵州茅台,入55/出20/ATR20/止2.0
96561.26,-0.034387400000000054,-0.01805429952296267,-0.24370655318603285,-0.18161071311881286,82516.52,-0.17483479999999996,-0.32984377004112786,-0.37295984688247363,11,11,0.36363636363636365,贵州茅台,入10/出5/ATR20/止2.0
104276.89999999997,0.04276899999999965,0.02204458904302742,-0.31076123165571284,0.11224033419240062,35591.3,-0.644087,-0.8067053168958412,-0.4652659306655013,7,7,0.42857142857142855,比亚迪,入20/出10/ATR20/止2.0
110004.99999999997,0.10004999999999971,0.05090108713782082,-0.2729061383146549,0.24755430724010138,35591.3,-0.644087,-0.8067053168958412,-0.4652659306655013,7,7,0.42857142857142855,比亚迪,入20/出10/ATR20/止1.5
99400.28999999998,-0.00599710000000021,-0.0031269583209634355,-0.34296568612374173,-0.0034713431112338767,35591.3,-0.644087,-0.8067053168958412,-0.4652659306655013,7,7,0.42857142857142855,比亚迪,入20/出10/ATR20/止3.0
90998.01,-0.09001990000000006,-0.04792864427274346,-0.24612583048097567,-0.2736597834471822,35591.3,-0.644087,-0.8067053168958412,-0.4652659306655013,3,3,0.3333333333333333,比亚迪,入55/出20/ATR20/止2.0
39253.970000000016,-0.6074602999999998,-0.38545886509378524,-0.7377558581660559,-0.4909211277681748,35591.3,-0.644087,-0.8067053168958412,-0.4652659306655013,12,11,0.45454545454545453,比亚迪,入10/出5/ATR20/止2.0
129893.88,0.29893880000000006,0.14588548586341,-0.2912599062552943,0.5220339033691698,196867.0,0.96867,-0.2927212629017746,1.0069140942512056,9,9,0.4444444444444444,宁德时代,入20/出10/ATR20/止2.0
131848.65999999997,0.31848659999999973,0.15483187756981698,-0.2805940383910789,0.5467599116581718,196867.0,0.96867,-0.2927212629017746,1.0069140942512056,9,9,0.4444444444444444,宁德时代,入20/出10/ATR20/止1.5
128014.45,0.28014449999999996,0.13722288916683234,-0.3015146418470452,0.497582236190314,196867.0,0.96867,-0.2927212629017746,1.0069140942512056,9,9,0.4444444444444444,宁德时代,入20/出10/ATR20/止3.0
108939.06999999998,0.08939069999999978,0.04558679365417939,-0.2852383824238832,0.22497947944971347,196867.0,0.96867,-0.2927212629017746,1.0069140942512056,4,4,0.5,宁德时代,入55/出20/ATR20/止2.0
146932.59999999992,0.4693259999999992,0.22183324130990068,-0.33727186381150265,0.7204063373435455,196867.0,0.96867,-0.2927212629017746,1.0069140942512056,14,14,0.42857142857142855,宁德时代,入10/出5/ATR20/止2.0
