ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,RSI,MACD_DIF,MACD_DEA,MACD_Hist,BOLL_MA,BOLL_Upper,BOLL_Lower,BOLL_BW,K,D,J
600031.SH,2025-02-17,17.45,17.52,17.13,17.36,17.46,-0.1,-0.5727,705108.88,1219254.121,68.08988952886517,0.4007386731138105,0.25965726465882794,0.28216281690996514,16.2515,17.59455660812624,14.90844339187376,16.528401786004242,90.54623297752372,86.2513128192031,99.13607329416499
600031.SH,2025-02-18,17.32,17.46,16.93,17.04,17.36,-0.32,-1.8433,703328.25,1209116.572,61.08894630593931,0.39549477200433714,0.2868247661279298,0.2173400117528147,16.338,17.648180381313555,15.027819618686449,16.03844266511878,85.45006597127009,85.98423053655875,84.38173684069278
600031.SH,2025-02-19,17.07,17.57,17.04,17.45,17.04,0.41,2.4061,857545.07,1495324.78,65.9234130577445,0.41958579225185133,0.31337697135271414,0.21241764179827438,16.4205,17.794291909470388,15.046708090529613,16.73264406650696,88.22750512074307,86.73198873128686,91.21853789965547
600031.SH,2025-02-20,17.48,17.7,17.29,17.65,17.45,0.2,1.1461,793701.63,1391269.821,68.01128204493901,0.449633334699314,0.3406282440220341,0.21801018135455974,16.532999999999998,17.92332900309318,15.142670996906817,16.81883509457668,90.60846020395215,88.02414588884196,95.7770888341725
600031.SH,2025-02-21,17.6,17.76,17.24,17.68,17.65,0.03,0.17,979194.6,1715682.115,68.32478573509363,0.4704439923467625,0.3665913936869798,0.20770519731956538,16.64,18.037923271744262,15.24207672825574,16.80196240077237,91.0723068026347,89.04019952677287,95.1365213543584
600031.SH,2025-02-24,17.7,17.95,17.65,17.84,17.68,0.16,0.905,695859.41,1239761.456,70.01275966209002,0.4941509863173046,0.3921033122130448,0.2040953482085196,16.761000000000003,18.132988951927274,15.389011048072732,16.371206394931935,90.9669720420926,89.68245703187944,93.53600206251895
600031.SH,2025-02-25,17.72,18.18,17.61,17.9,17.84,0.06,0.3363,805857.16,1447158.243,70.64451850848617,0.5118798165071361,0.4160586130718631,0.191642406870546,16.86,18.261893456421653,15.458106543578344,16.629815615915238,86.68631469472838,88.68374291949574,82.69145824519367
600031.SH,2025-02-26,17.88,18.18,17.73,17.79,17.9,-0.11,-0.6145,661486.15,1186667.988,67.8234051341119,0.5111616086329924,0.43507921218408896,0.15216479289780693,16.939,18.364539971563854,15.513460028436146,16.831453705222906,80.72420979648557,86.03056521182567,70.11149896580534
600031.SH,2025-02-27,17.76,18.13,17.71,18.02,17.79,0.23,1.2929,814638.24,1463890.156,70.47805288765196,0.523121284986491,0.4526876267445694,0.1408673164838432,17.035,18.481090919468198,15.588909080531803,16.977879888091547,82.88280653099036,84.9813123182139,78.6857949565433
600031.SH,2025-02-28,17.93,18.5,17.91,18.2,18.02,0.18,0.9989,1371673.92,2514994.108,72.39736959143445,0.5408888800214378,0.47032787739994314,0.14112200524298923,17.1415,18.602015770469265,15.680984229530736,17.04069971086853,82.21911093573453,84.06057852405411,78.53617575909539
600031.SH,2025-03-03,18.25,19.38,18.25,18.8,18.2,0.6,3.2967,1514306.87,2880689.116,77.62034967997367,0.5965086324844684,0.4955640284168482,0.20188920813524036,17.2715,18.838156177643107,15.70484382235689,18.1415184279664,79.8839656950481,82.66837424771876,74.31514858970678
600031.SH,2025-03-04,18.7,18.95,18.52,18.84,18.8,0.04,0.2128,695432.69,1306371.554,77.92030351795044,0.6364784256394422,0.523746907861367,0.22546303555615044,17.408499999999997,19.022312419804646,15.794687580195347,18.54051089760346,78.17809551009438,81.17161466851063,72.19105719326188
600031.SH,2025-03-05,19.45,20.0,19.38,19.68,18.84,0.84,4.4586,2198570.11,4353081.527,83.05619691236039,0.7275490222635455,0.5645073307418027,0.3260833830434855,17.601999999999997,19.332623252503325,15.871376747496667,19.66393878540313,81.58732937387934,81.31018623696687,82.14161564770427
600031.SH,2025-03-06,19.45,19.76,19.2,19.66,19.68,-0.02,-0.1016,1336008.58,2606592.05,82.56376320382677,0.7890140307609066,0.6094086707456235,0.3592107200305661,17.797,19.5325975764469,16.0614024235531,19.504383620238237,82.98290577505485,81.86775941632953,85.21319849250546
600031.SH,2025-03-07,19.64,19.96,19.41,19.86,19.66,0.2,1.0173,939235.12,1860063.48,83.61024771745188,0.844133179517975,0.6563535725000939,0.3755592140357622,17.952499999999997,19.84345214111831,16.061547858881685,21.066170629364294,86.7026903214452,83.47940305136808,93.14926486159948
600031.SH,2025-03-10,20.2,20.55,20.0,20.47,19.86,0.61,3.0715,2106416.73,4285481.925,86.3091906040326,0.9263589151023695,0.710354641020549,0.43200854816364087,18.1265,20.268336644220618,15.984663355779382,23.632103762123055,90.1961597448132,85.71832194918312,99.15183533607336
600031.SH,2025-03-11,20.27,20.75,20.23,20.54,20.47,0.07,0.342,1278628.92,2622766.483,86.58224800582849,0.9858080365419681,0.7654453201248329,0.44072543283427046,18.3095,20.62156879336733,15.997431206632669,25.25540067579487,91.16147491759475,87.532706271987,98.41901220881022
600031.SH,2025-03-12,20.5,20.73,20.15,20.16,20.54,-0.38,-1.85,1069072.91,2169686.857,77.54103571377394,0.9908373136067006,0.8105237188212064,0.36062718957098827,18.467999999999996,20.833218138376488,16.102781861623505,25.614231518047344,87.18276731595518,87.41605995330971,86.7161820412461
600031.SH,2025-03-13,20.05,20.18,19.85,20.04,20.16,-0.12,-0.5952,925549.26,1850235.713,74.88180246776844,0.9739133875052062,0.8432016525580064,0.2614234698943996,18.622,20.97484911274997,16.26915088725003,25.269564093544933,81.9885115439701,85.60687715019651,74.7517803315173
600031.SH,2025-03-14,20.04,20.58,20.04,20.49,20.04,0.45,2.2455,1210653.1,2473326.496,77.93740819361044,0.9854526090780489,0.8716518438620149,0.227601530432068,18.773500000000002,21.200352195529685,16.34664780447032,25.854019714274727,84.10594342094268,85.1065659071119,82.10469844860424
600031.SH,2025-03-17,20.48,20.59,20.19,20.43,20.49,-0.06,-0.2928,1092036.46,2231435.756,76.59940345617775,0.9784767557909255,0.8930168262477971,0.17091985908625684,18.927,21.365740831270337,16.488259168729662,25.76996704464878,82.52224185052091,84.2451245549149,79.07647644173295
600031.SH,2025-03-18,20.48,20.48,19.74,19.92,20.43,-0.51,-2.4963,1121807.36,2237241.576,66.19658775798734,0.9211768507278961,0.898648831143817,0.04505603916815826,19.070999999999998,21.377100833144862,16.764899166855134,24.18437243086219,70.49869886808925,79.66298265930635,52.17013128565503
600031.SH,2025-03-19,19.75,20.09,19.73,20.0,19.92,0.08,0.4016,656803.87,1312403.023,66.95471058094721,0.8721677872086815,0.8933526223567899,-0.042369670296216855,19.1985,21.40715546144442,16.989844538555577,23.008625272228795,61.675749494149045,73.66723827092058,37.69277194060598
600031.SH,2025-03-20,20.3,20.55,19.8,19.85,20.0,-0.15,-0.75,796322.1,1594441.044,64.05395628697897,0.8118653267624758,0.8770551632379272,-0.1303796729509028,19.308500000000002,21.40891875524103,17.208081244758976,21.756415622560286,45.03873495688371,64.12440383290829,6.86739720483456
600031.SH,2025-03-21,19.85,19.95,19.54,19.59,19.85,-0.26,-1.3098,541886.76,1066483.294,59.26138709639681,0.7346270420623107,0.848569539002804,-0.2278849938809866,19.404,21.361478506973445,17.446521493026555,20.176030787192794,31.403233772908717,53.217347146241764,-12.22499297375738
600031.SH,2025-03-24,19.7,20.14,19.63,19.96,19.59,0.37,1.8887,617320.5,1228750.574,63.45218666080059,0.6952565678150329,0.8179069447652497,-0.2453007539004337,19.509999999999998,21.3360685408246,17.683931459175398,18.719308465654542,32.70019506429212,46.378296452258546,5.34399228835926
600031.SH,2025-03-25,20.0,20.06,19.53,19.56,19.96,-0.4,-2.004,545097.7,1075685.161,56.66557633948395,0.6245787709795287,0.7792413100081056,-0.3093250780571537,19.593,21.254427414192804,17.931572585807196,16.959397888968553,22.74352626927643,38.50003972459784,-8.769500641366392
600031.SH,2025-03-26,19.6,19.65,19.05,19.29,19.56,-0.27,-1.3804,751218.9,1449622.215,52.57771213360471,0.5405482603992411,0.7315027000863328,-0.3819088793741834,19.668,21.107306850718814,18.228693149281185,14.636026547883004,20.357156040989448,32.452411830061706,-3.8333555371550716
600031.SH,2025-03-27,19.2,19.33,19.1,19.25,19.29,-0.04,-0.2074,317038.64,609473.214,51.97945241698435,0.465361412959993,0.6782744426610648,-0.4258260594021437,19.729499999999998,20.962664094599866,18.49633590540013,12.500713090548347,17.900441689663946,27.601755116595783,-1.5021851641997301
600031.SH,2025-03-28,19.28,19.48,19.11,19.25,19.25,0.0,0.0,432751.83,831958.066,51.97945241698435,0.4011510747900964,0.6228497690868712,-0.4433973885935496,19.782,20.813985312012868,18.750014687987132,10.433579132674833,16.378072237553724,23.860527490248426,1.413161732164319
600031.SH,2025-03-31,19.23,19.28,18.93,19.07,19.25,-0.18,-0.9351,404810.23,772189.438,49.065729705175876,0.33191333320638705,0.5646624819107744,-0.4654982974087747,19.795499999999997,20.779337277944606,18.811662722055388,9.940009375308621,13.799373261249816,20.506809413915555,0.384500955918341
